Index|Romaji construction|Kana construction|Alternate Spellings|Common|Extra keywords Jap|||||MeaningEN|Extra keywordsEN|MeaningFR|Extra keywordsFR|MeaningES|Extra keywordsES|
17594|wa ... ga ii desu|～は...がいいです||1|wa, ga|||||104||188||177||
17595|wa ... ga ...|～は...が...||1|wa, ga|||||105||189||178||
17596|de ... en|～で...円||1|de, en|||||106|worth, priced, price, money|190||179||
17597|de utteiru|～で売っています||1|de utteimasu|||||107||191||180||
17598|ni suru|～にする||1|ni shimasu, nisuru|||||108|will take, will order|192||181||
17599|mo sou|～もそう||1|mosou|||||109||193||182||
17600|[verb] [noun]|～||1|ga|||||110||194||183||
17601|toori|～とおり||1|doori, toori ni, doori ni|||||112||195||184||
17602|hou ga ii da|ほうがいいです||1|hou ga ii desu, hou ga, ta hou ga, hougaii|||||113||196||185||
17603|ikura ...te mo|幾ら...ても||1|de mo, demo, temo|||||121||197||186||
17604|ii desu ka|いいですか||1||||||122||198||187||
17605|ikaga desu ka|いかがですか||1||||||160||199||188||
17606|dearu|～である||1||||||123||200||189||
17607|deatta|～であった||1||||||751||201||190||
17608|ga tsuiteimasu|がついています||1||||||124||202||191||
17609|ga hatteimasu|がはっています||1||||||125||203||192||
17610|ka nanika wo|か何かを||1||||||126||204||193||
17611|ka dareka wo|か誰かを||1||||||127||205||194||
17612|ka dokoka wo|かどこかを||1||||||128||206||195||
17613|darou|～だろう||1||||||129;130|likely, presumptive|207;208||196;197||
17614|deshou|～でしょう||1||||||131;132|likely, presumptive|209;210||198;199||
17615|no hoka|～のほか||1||||||133||211||200||
17616|sugiru|～すぎる||1|sugimasu, suginai, sugimashita, sugita|||||134||212||201||
17617|na n da|なんだ||1|bakkari ni, bakashi ni, bakkashi ni, nanda|||||137||213||202||
17618|dou sureba ii desu ka|どうすればいいですか||1|ba ii desu ka, dou sureba, ba yokatta, nakereba ii desu, nakereba yokatta desu, baii|||||141|it will be fine if, it will be enough if, you should do|214||203||
17619|dou shitara ii desu ka|どうしたらいいですか||1|tara yokatta da, tara yokatta desu|||||143||215||204||
17620|tatoe …temo|たとえ...ても||1|tatoe demo|||||6204||216||205||
17621|sore ni shite mo|それにしても||1||||||170||217||206||
17622|naide|～ないで||1|do not do|||||172;173;174||218;219;220||207;208;209||
17623|ja nakute|～じゃなくて||1||||||178||221||210||
17624|mata wa|～又は||1|mata ha|||||179||222||211||
17625|to issho ni|～と一緒に||1||||||180|altogether with|223||212||
17626|uchi ni|～内に||1||||||188|when, during|224||213||
17627|no tochuu de|～の途中で||1|途中|||||189|in the middle of, in the midst of, during|225||214||
17628|tochuu ni|～途中に||1|途中|||||190|in the middle of, in the midst of, during|226||215||
17629|tochuu de|～途中で||1|途中|||||191|in the middle of, in the midst of, during|227||216||
17630|you ni to|～ようにと||1||||||196|initiator, initiates|228||217||
17631|to ii n desu ga|～といいんですが||1|da to ii n da, da to ii n desu, da to ii da, da to ii desu|||||6104||229||218||
17632|to ii desu (ne)|～といいですね||1|da to ii n da, da to ii n desu, da to ii da, da to ii desu|||||6148||230||219||
17633|to iu|～と言う||1|da to imasu, da to iusay that, tell that, to itta, toiu|||||197|I said that, she said that|231||220||
17634|to tsutaeru|～と伝える||1|da to tsutaeru, da to tsutaemasu, to tsutaeta|||||183|I said that, she said that, say that, tell that|232||221||
17635|to omou|～と思う||1|da to omou, da to omoimasu|||||198|I think that, she thinks that, you think that|233||222||
17636|to wa kagiranai|～とは限らない|da to wa kagiranai, だとは限らない|1|da to wa kagiranai, da to wa kagirimasen|||||199|is not always, do not always|234||223||
17637|tokoro dewa|～ところでは||1||||||200||235||224||
17638|ka ...ka|～か...か||1|ka, か|||||201|know if, believe that, think that, remember that, remember if|236||225||
17639|ka dou ka|～かどうか||1||||||202;203|know if, believe that, think that|237;238||226;227||
17640|ka dou ka … te miru|～かどうか||1||||||204||239||228||
17641|you ni naritai|～ようになりたい||1|etai|||||213|will be be able to do, will be able to be|240||229||
17642|you ni naru kamo shirenai|～ようになるかもしれない||1|you ni naru kamo shiremasen|||||214|will not be be able to do, will not be able to be|241||230||
17643|ni niteiru|～に似ている||1||||||216||242||231||
17644|ni tai suru|～にたいする||1||||||6742||243||232||
17645|to dochira ga|～とどちが||1||||||217||244||233||
17646|no naka de ... ga ichiban|～の中で...が一番||1||||||218||245||234||
17647|yori ... hou ga|～より...ほうが||1|hou ga, yori|||||219||246||235||
17648|noto ... noto|～のと...のと||1||||||221|which of, decision, decide|247||236||
17649|yori mou sukoshi ...|～よりもう少し||1||||||222||248||237||
17650|teite|～ていて|deite|1||||||231||249||238||
17651|tete|～てて|dete|1||||||232||250||239||
17652|te iru|～ている||1|iru, te imasu, de iru, de imasu, teiru, deiru|||||233;234||251;252||240;241||
17653|te aru|～てある||1|aru, te arimasu, de aru, de arimasu, tearu, dearu|||||235||253||242||
17654|te iku|～て行く||1|iku, te ikimasu, de iku, de ikimasu, teiku, deiku|||||236;237;238||254;255;256||243;244;245||
17655|te oku|～ておく||1|oku, te okimasu, de oku, de okimasu, teoku, deoku|||||239|do preemptively, do in preparation for, do in advance|257||246||
17656|ttoku|～っとく||1|ttokimasu|||||240|preemptively, preparation|258||247||
17657|te kara|～てから||1|kara, de kara|||||241|then, afterwards|259||248||
17658|te kuru|～て来る||1|kuru, te kimasu, de kuru, de kimasu|||||242;243;244||260;261;262||249;250;251||
17659|te mo ii da|～てもいいだ||1|mo ii da, te mo ii desu, de mo ii da, de mo ii desu|||||245|alright, may, permission, temoii, demoii|263||252||
17660|te wa ikenai|～てはいけない||1|wa ikenai, te wa ikemasen, de wa ikenai, de wa ikemasen, tehaikenai, tewaikenai|||||246|not allowed, not permitted, forbidden, may not, prohibition|264||253||
17661|cha ikenai|～ちゃいけない||1|ikenai, te wa ikemasen, de wa ikenai, de wa ikemasen|||||247|not allowed, not permitted, forbidden, may not, prohibition|265||254||
17662|te mo ii desu ka?|～てもいいですか?||1|mo ii desu ka, mou ii da, de mo ii desu ka, temoii, demoii|||||248|is it ok, is it fine, is ok, is fine, is acceptable, permission, may I, may she, may he, may they|266||255||
17663|te ageru|～て上げる||1|ageru, te agemasu, de ageru, de agemasu|||||249||267||256||
17664|te hoshii|～てほしい||1|hoshii, te hoshii desu|||||250||268||257||
17665|te kudasai|～て下さい||1|kudasai, de kudasai|||||251||269||258||
17666|te kurenai|～て呉れない||1|kurenai, de kurenai|||||253||270||259||
17667|te kuremasen ka|～て呉れませんか||1|kuremasen ka, de kuremasen ka|||||6125||271||260||
17668|te itadakemasen ka|～て呉れませんか||1|itadakemasen ka, de itadakemasen ka|||||6126||272||261||
17669|te kureru|～て呉れる||1|kureru, te kuremasu, de kureru, de kuremasu|||||254||273||262||
17670|te miru|～て見る||1|miru, te mimasu, de miru, de mimasu|||||255||274||263||
17671|te mitai da|～て見たいだ||1|mitai da, te mitai desu, de mitai da, de mitai desu, te mitakatta, de mitakatta|||||256||275||264||
17672|te moraeru|～て貰えます||1|moraeru, te moraemasu, de moraeru, de moraemasu|||||257||276||265||
17673|te moraemasu ka|～て貰えますか||1|moraemasu ka, de moraemasu ka|||||258||277||266||
17674|te moreru to|～て貰えると||1|moreru to, de moraeru to|||||259||278||267||
17675|te itadaku|～ていただく||1|itadaku|||||6100||279||268||
17676|te goran|～てご覧||1|goran|||||260||280||269||
17677|te morau|～て貰う||1|morau, de moraimasu, de morau, de moraimasu|||||261||281||270||
17678|te moraitai|～て貰いたい||1|moraitai, de moraitai|||||262||282||271||
17679|te sokonau|～て損なう||1|sokonau|||||264||283||272||
17680|te moraitai n desu ga|～て貰いたいんですが||1|moraitai n desu ga, de moraitai no desu ga, de moraitai n desu ga, de moraitai no desu ga|||||265||284||273||
17681|te shimau|～て仕舞う||1|shimau, te shimau, te shimaimasu, de shimau, de shimaimasu|||||266;267||285;286||274;275||
17682|te shimatta|～て仕舞った||1|shimatta, te shimaimashita, de shimatta, de shimaimashita|||||268||287||276||
17683|cchimatta|～っちまった||1||||||269||288||277||
17684|te sumimasen|～てすみません||1|sumimasen|||||270||289||278||
17685|te bakari iru|～ばかりいる||1|bakari iru, bakkari iru, bakashi iru, bakkashi iru, bakkari imasu, bakashi imasu, bakkashi imasu|||||271||290||279||
17686|te koto wa dekinai|～ことはできない||1|koto wa dekinai, koto ha dekinai, koto ha dekimasen|||||272||291||280||
17687|te choudai|～て頂戴||1|choudai|||||273||292||281||
17688|sou ni naru|～そう||1|sou ni narimasu|||||274||293||282||
17689|nasasou|～無さそう||1|sou, sou ni nai, sou mo nai|||||275|doesn't look like, doesn't sound like, doesn't appear to be, apparently not, doesn't seem to be|294||283||
17690|eru|～える||1||||||276||295||284||
17691|eta|～えた||1||||||277||296||285||
17692|saseru|～させる||1||||||278||297||286||
17693|koto ga dekiru|～ことが出来る||1||||||279||298||287||
17694|koto|～こと|事|1||||||280|ru koto|299||288||
17695|koto ni kimeru|～ことに決める||1||||||281||300||289||
17696|beki|～べき||1||||||282||301||290||
17697|komu|～込む|篭む, 籠む, 混む|1||||||283||302||291||
17698|hajimeru|～始める|創める|1||||||284||303||292||
17699|chau|～ちゃう||1||||||285||304||293||
17700|chatta|～ちゃった||1|te shimaimashita, de shimatta, de shimaimashita|||||286||305||294||
17701|jau|～じゃう||1||||||725||306||295||
17702|jatta|～じゃった||1|te shimaimashita, de shimatta, de shimaimashita|||||726||307||296||
17703|(o) ni naru|～になる||1|ni naru|||||287||308||297||
17704|(o) nasaru|～なさる||1|nasaru|||||288||309||298||
17705|(o) suru|～する||1|suru|||||289||310||299||
17706|(o) itasu|～いたす||1|itasu|||||290||311||300||
17707|(o) kudasai|～下さい||1|kudasai|||||291||312||301||
17708|(o) naide kudasai|～ないで下さい||1|naide kudasai|||||292||313||302||
